plant_id,species,pot_size,light_condition,location_type,watering_per_week,days_since_repot,fertilizer_ml,humidity_pct,temperature_c,prev_height_cm,height_cm,is_blooming
181,스투키,Medium,Medium,실내,5,87.0,4.5,62.1,25.1,50.7,55.5,N
182,몬스테라,Large,Medium,실내,3,31.0,62.7,48.9,24.0,24.8,30.3,N
183,필로덴드론,Small,Medium,베란다,1,87.0,27.5,70.6,27.0,,67.8,N
184,산세베리아,Large,Medium,실내,3,79.0,15.1,32.2,19.0,35.6,40.3,N
185,스투키,Medium,Medium,실내,4,28.0,41.3,81.1,22.9,49.4,61.0,N
186,고무나무,Large,Medium,실내,0,533.0,31.5,70.8,22.4,96.7,100.9,N
187,산세베리아,Medium,High,실내,1,241.0,31.6,52.7,23.1,39.4,45.2,N
188,스킨답서스,Medium,High,실내,6,262.0,124.7,49.9,23.8,26.4,44.8,Y
189,스킨답서스,Large,Low,실내,2,139.0,12.8,54.6,31.6,83.1,85.2,N
190,스투키,Small,Low,실내,2,21.0,42.6,46.0,31.5,22.2,26.1,N
191,몬스테라,Small,Medium,베란다,3,101.0,61.9,52.3,23.1,48.2,54.0,N
192,산세베리아,Medium,Medium,실내,1,207.0,20.6,64.9,26.8,9.9,12.5,N
193,필로덴드론,Medium,Low,실내,3,5.0,12.3,46.5,19.4,,6.2,N
194,고무나무,Large,High,실내,4,82.0,20.3,66.3,21.7,48.0,56.9,N
195,스투키,Small,Low,실내,0,61.0,31.1,52.0,19.6,42.1,42.9,N
196,스투키,Medium,High,실내,7,29.0,55.4,68.1,22.8,37.7,52.7,N
197,고무나무,Medium,High,베란다,4,57.0,13.6,71.4,23.6,23.2,29.1,N
198,산세베리아,Small,High,베란다,2,493.0,20.4,43.0,28.9,20.3,24.4,N
199,산세베리아,Medium,Low,실내,1,154.0,42.3,29.7,19.2,19.4,22.8,N
200,산세베리아,Small,Low,실내,1,43.0,47.7,57.0,26.0,47.2,50.6,N
201,고무나무,Small,Medium,실내,1,112.0,51.1,58.1,20.8,150.6,157.7,Y
202,몬스테라,Large,Low,실내,3,34.0,6.3,40.3,20.3,31.8,32.3,N
203,몬스테라,Medium,Medium,실내,3,113.0,93.5,75.0,21.3,73.0,79.0,N
204,산세베리아,Medium,Medium,실내,2,272.0,17.0,50.7,27.9,22.8,29.7,N
205,고무나무,Large,Low,실내,2,98.0,91.6,62.7,16.1,108.1,110.3,N
206,몬스테라,Medium,Low,실내,4,159.0,102.3,46.2,23.4,68.6,76.4,N
207,몬스테라,Large,High,베란다,2,72.0,5.1,37.1,25.4,34.8,35.1,N
208,고무나무,Medium,Low,베란다,2,89.0,41.4,69.0,19.1,68.8,73.3,N
209,몬스테라,Large,Low,실내,2,143.0,18.8,43.9,23.6,87.8,90.5,N
210,몬스테라,Small,Medium,실내,1,201.0,25.7,64.4,19.8,51.6,56.5,N
211,스킨답서스,Large,High,베란다,0,129.0,47.8,45.1,27.9,30.5,37.7,N
212,고무나무,Small,Medium,실내,1,455.0,9.9,52.4,18.1,5.0,10.2,N
213,고무나무,Small,Low,베란다,2,206.0,18.0,53.1,23.7,48.8,52.4,N
214,스투키,Medium,Medium,실내,2,180.0,40.2,54.7,20.7,63.8,71.1,N
215,고무나무,Medium,High,실내,6,224.0,32.9,47.3,21.6,120.3,133.5,Y
216,스투키,Medium,High,실내,1,40.0,47.5,63.6,21.1,50.7,60.0,N
217,스투키,Medium,Medium,베란다,5,68.0,17.4,66.3,25.3,73.4,81.3,N
218,·정보없음,Medium,Medium,실내,7,100.0,9.3,69.7,22.6,101.6,107.8,N
219,고무나무,Small,Medium,실내,2,74.0,100.3,49.6,17.8,53.3,61.4,N
220,산세베리아,Small,Low,실내,0,226.0,12.8,41.6,23.1,38.4,39.8,N
221,고무나무,Small,Medium,베란다,1,3.0,10.8,57.6,22.8,46.3,48.3,N
222,스킨답서스,Medium,High,베란다,4,28.0,13.8,59.4,25.2,32.7,38.1,N
223,몬스테라,Small,High,베란다,2,256.0,29.1,59.5,23.0,58.3,66.7,Y
224,스투키,Medium,Medium,베란다,4,7.0,30.8,73.4,17.5,30.6,37.9,N
225,스투키,Medium,Low,실내,3,31.0,6.5,56.3,25.6,41.0,42.5,N
226,스투키,Small,Medium,실내,2,52.0,11.7,80.2,25.5,59.2,63.5,Y
227,필로덴드론,Medium,High,실내,0,167.0,51.7,65.6,23.6,52.4,59.0,N
228,스투키,Large,High,실내,1,99.0,19.4,65.9,22.9,38.0,40.6,N
229,산세베리아,Small,Low,베란다,6,371.0,32.0,56.1,23.2,40.6,44.0,N
230,고무나무,Medium,Medium,베란다,1,31.0,12.3,51.3,25.5,105.3,108.1,N
231,산세베리아,Medium,Medium,실내,3,247.0,37.5,47.7,26.1,28.9,34.9,N
232,스킨답서스,Medium,Medium,실내,2,40.0,11.8,57.2,23.6,30.8,144.6,N
233,스킨답서스,Medium,High,베란다,4,34.0,8.5,65.5,23.9,46.9,55.7,Y
234,스킨답서스,Medium,Medium,실내,0,83.0,3.3,52.6,22.6,67.0,69.2,N
235,몬스테라,Medium,High,실내,3,9.0,24.8,50.6,29.3,33.4,40.2,N
236,고무나무,Small,Medium,실내,3,58.0,38.8,42.6,15.9,54.2,59.1,N
237,스투키,Medium,High,실내,1,53.0,39.5,61.1,20.1,51.1,55.3,Y
238,몬스테라,Medium,Medium,실내,1,21.0,28.3,42.2,19.7,31.6,35.8,N
239,고무나무,Small,High,실내,4,237.0,51.0,59.8,28.4,57.8,68.2,N
240,몬스테라,Medium,Medium,실내,2,59.0,7.2,58.4,21.4,88.3,96.2,N
241,필로덴드론,Large,Medium,베란다,2,482.0,7.7,53.3,16.0,44.6,52.7,N
242,필로덴드론,Medium,Low,실내,1,276.0,10.8,69.5,19.6,44.7,45.6,N
243,필로덴드론,Medium,Medium,실내,3,26.0,18.2,74.1,23.7,31.3,34.7,N
244,스투키,Large,Medium,베란다,3,84.0,24.1,29.7,22.2,36.4,39.5,N
245,몬스테라,Medium,Medium,실내,5,110.0,54.3,37.2,21.8,52.9,61.8,N
246,필로덴드론,Medium,High,실내,1,205.0,19.5,62.0,22.7,37.8,40.2,N
247,스킨답서스,Medium,Low,베란다,2,260.0,41.4,75.3,25.5,17.0,17.6,N
248,필로덴드론,Large,High,실내,4,117.0,36.1,38.7,24.8,34.0,41.6,N
249,필로덴드론,Medium,High,베란다,1,4.0,54.1,60.1,19.6,,28.6,Y
250,산세베리아,Medium,Low,실내,1,79.0,34.2,34.1,22.9,5.9,7.1,N
251,스투키,Medium,Medium,실내,2,259.0,56.6,32.8,26.7,63.0,66.2,N
252,스투키,Large,Medium,실내,1,150.0,3.4,79.8,22.7,24.4,27.2,N
253,산세베리아,Medium,Low,실내,1,245.0,19.9,59.7,20.3,49.1,51.2,N
254,스투키,Small,Medium,베란다,3,135.0,4.8,36.5,18.6,74.2,81.5,N
255,몬스테라,Large,High,실내,5,5.0,10.8,52.4,22.8,55.7,61.7,Y
256,스킨답서스,Medium,Low,베란다,3,413.0,10.1,45.6,21.4,49.5,53.5,N
257,필로덴드론,Small,Medium,베란다,2,300.0,56.4,49.9,21.4,51.2,61.2,Y
258,고무나무,Medium,Medium,실내,1,16.0,20.9,51.2,22.7,74.6,75.5,N
259,스킨답서스,Medium,High,베란다,6,14.0,93.2,57.5,20.0,47.0,59.7,Y
260,몬스테라,Large,Low,실내,2,93.0,19.5,60.4,25.9,37.2,37.4,N
261,고무나무,Small,Medium,실내,1,170.0,4.5,46.8,21.8,,83.2,N
262,필로덴드론,Large,Medium,베란다,4,58.0,18.2,46.2,28.0,36.4,43.3,N
263,몬스테라,Medium,Medium,실내,3,18.0,34.6,59.9,25.1,56.8,64.8,Y
264,스킨답서스,Small,High,실내,2,86.0,30.1,47.2,21.8,7.8,14.6,N
265,산세베리아,Large,High,실내,0,49.0,24.9,47.1,18.2,50.7,58.5,N
266,고무나무,Medium,Low,실내,6,52.0,31.8,56.3,24.0,28.6,34.7,N
267,고무나무,Small,Medium,실내,1,124.0,47.3,55.4,23.4,80.2,87.9,N
268,고무나무,Medium,Medium,실내,2,260.0,1.7,49.7,19.9,31.7,35.7,N
269,스투키,Large,Medium,실내,2,98.0,27.3,67.6,18.6,57.1,61.3,N
270,스투키,Small,Medium,실내,4,140.0,10.0,60.9,22.0,53.0,58.3,N
271,산세베리아,Small,Medium,실내,3,129.0,38.2,79.2,22.7,34.8,43.9,N
272,산세베리아,Small,Medium,실내,2,96.0,11.4,52.0,22.5,26.8,32.6,N
273,산세베리아,Small,High,실내,2,45.0,11.6,63.5,22.0,56.5,63.4,N
274,필로덴드론,Medium,Low,베란다,1,57.0,7.0,72.5,25.6,20.9,24.8,N
275,스킨답서스,Medium,High,실내,2,46.0,25.8,44.3,20.1,67.0,73.9,Y
276,스킨답서스,Small,Medium,실내,1,299.0,4.4,50.7,27.7,45.4,54.1,N
277,산세베리아,Small,Medium,실내,6,210.0,6.9,69.7,17.0,26.4,33.1,N
278,고무나무,Small,High,실내,3,104.0,26.2,63.1,19.8,100.6,108.2,Y
279,고무나무,Large,Medium,실내,4,292.0,20.1,54.7,18.4,51.5,56.8,N
280,산세베리아,Small,Medium,베란다,3,261.0,19.9,38.4,22.7,44.5,50.9,N
281,산세베리아,Large,Medium,베란다,3,315.0,3.1,39.4,23.2,17.1,18.1,N
282,스투키,Medium,Medium,베란다,0,30.0,26.3,49.6,27.3,51.4,48.8,N
283,스투키,Small,High,베란다,0,152.0,28.0,45.4,22.6,35.1,38.2,Y
284,몬스테라,Large,High,실내,2,113.0,50.4,45.6,24.5,50.4,59.5,N
285,스킨답서스,Medium,Low,실내,2,159.0,35.6,33.0,18.7,54.5,59.8,N
286,몬스테라,Medium,Low,베란다,0,37.0,9.7,38.7,17.9,49.5,48.5,N
287,스킨답서스,Large,Medium,실내,1,142.0,9.5,44.4,25.9,5.0,4.9,N
288,스킨답서스,Small,Low,베란다,0,63.0,53.2,56.4,24.8,69.3,70.7,N
289,스투키,Small,Medium,베란다,6,216.0,47.5,50.9,22.7,56.2,63.9,N
290,스킨답서스,Medium,,베란다,2,190.0,22.3,55.7,19.4,81.2,84.5,N
291,몬스테라,Small,Medium,실내,5,28.0,39.2,55.2,29.3,91.3,99.5,N
292,몬스테라,Small,Low,베란다,4,24.0,43.9,34.6,24.5,53.3,60.7,N
293,산세베리아,Small,Medium,실내,3,152.0,5.6,67.8,19.9,40.5,44.4,N
294,스투키,Small,Medium,실내,3,96.0,8.1,63.8,22.2,37.8,39.9,N
295,몬스테라,Medium,Medium,실내,4,98.0,17.1,55.5,17.6,21.7,28.4,N
296,스킨답서스,Small,High,베란다,2,168.0,53.8,48.6,22.4,37.0,43.2,N
297,산세베리아,Medium,High,베란다,0,232.0,75.0,71.3,20.6,19.4,25.0,N
298,몬스테라,Medium,Medium,실내,2,33.0,27.8,42.8,29.2,62.5,70.9,N
299,고무나무,Medium,Low,실내,2,97.0,9.0,66.7,24.3,70.4,74.7,N
300,몬스테라,Small,High,실내,2,212.0,10.5,44.6,14.4,40.8,45.3,N
301,몬스테라,Medium,High,베란다,4,247.0,18.1,70.8,27.5,24.7,36.3,N
302,스킨답서스,Small,High,실내,0,41.0,17.8,60.6,23.2,25.5,30.9,N
303,스킨답서스,Medium,Low,실내,1,13.0,10.1,65.7,26.6,5.0,7.8,N
